"Date","Rate"
"19/08/2011",""
"14/08/2003","0.34"
"08/08/2003","0.34"
"07/08/2003","0.34"
"22/09/2003","0.36"
"23/09/2003","0.36"
"15/08/2003","0.37"
"05/08/2003","0.37"
"06/08/2003","0.38"
"13/08/2003","0.38"
"10/07/2003","0.39"
"18/08/2003","0.40"
"16/07/2003","0.40"
"17/07/2003","0.40"
"21/08/2003","0.41"
"19/09/2003","0.41"
"14/07/2003","0.41"
"20/07/2003","0.41"
"07/07/2003","0.41"
"25/08/2003","0.43"
"08/07/2003","0.43"
"22/08/2003","0.43"
"26/08/2003","0.47"
"19/08/2003","0.47"
"24/09/2003","0.48"
"25/09/2003","0.48"
"01/09/2003","0.48"
"29/08/2003","0.49"
"02/09/2003","0.49"
"20/08/2003","0.49"
"27/08/2003","0.49"
"26/09/2003","0.49"
"28/08/2003","0.50"
"11/08/2003","0.50"
"12/08/2003","0.50"
"03/09/2003","0.52"
"29/09/2003","0.52"
"04/09/2003","0.52"
"30/09/2003","0.56"
"18/09/2003","0.58"
"15/09/2003","0.59"
"22/07/2003","0.60"
"12/09/2003","0.60"
"16/09/2003","0.61"
"11/09/2003","0.62"
"06/10/2003","0.62"
"09/09/2003","0.62"
"05/09/2003","0.62"
"01/10/2003","0.62"
"17/09/2003","0.64"
